HGNC_SYMBOL,LOG2FC,PVALUE
A1BG,0.001,0.478
A1BG-AS1,0.147,0.821
A1CF,-0.236,0.047
A2LD1,-0.120,0.265
A2M,-0.480,0.025
A2ML1,0.074,0.441
A4GALT,0.411,0.199
A4GNT,-0.523,0.123
AAA1,0.035,0.684
AAAS,0.025,0.828
AACS,0.053,0.281
AACSP1,0.265,0.142
AADAC,-0.243,0.119
AADACL2,0.046,0.446
AADACL3,-0.393,0.274
AADACL4,-0.013,0.824
AADAT,-0.037,0.796
AAGAB,0.139,0.113
AAK1,0.018,0.771
AAMP,0.121,0.199
AANAT,-0.044,0.927
AARS,0.002,0.994
AARS2,0.047,0.745
AARSD1,-0.083,0.238
AASDH,0.147,0.260
AASDHPPT,-0.046,0.637
AASS,-0.459,0.008
AATF,0.037,0.685
AATK,-1.680,0.068
AATK-AS1,-0.318,0.254
ABAT,0.088,0.035
ABCA1,2.730,0.000
ABCA10,-0.095,0.468
ABCA11P,0.080,0.697
ABCA12,-0.319,0.398
ABCA13,0.012,0.840
ABCA17P,-0.002,0.989
ABCA2,-0.309,0.101
ABCA3,0.162,0.058
ABCA4,0.026,0.879
ABCA5,-0.190,0.206
ABCA6,-0.158,0.460
ABCA7,-0.106,0.558
ABCA8,-0.225,0.355
ABCA9,-0.450,0.010
ABCB1,0.154,0.308
ABCB10,0.142,0.547
ABCB11,-0.338,0.070
ABCB4,-0.232,0.398
ABCB5,0.284,0.453
ABCB6,-0.161,0.176
ABCB7,-0.054,0.705
ABCB8,-0.028,0.806
ABCB9,0.225,0.505
ABCC1,0.592,0.011
ABCC10,0.088,0.125
ABCC11,0.322,0.149
ABCC12,0.018,0.760
ABCC13,0.025,0.839
ABCC2,0.302,0.024
ABCC3,-0.045,0.092
ABCC4,0.259,0.178
ABCC5,0.018,0.964
ABCC6,0.301,0.002
ABCC6P1,0.433,0.012
ABCC8,0.053,0.689
ABCC9,-0.684,0.064
ABCD1,0.582,0.000
ABCD2,0.004,0.959
ABCD3,-0.108,0.330
ABCD4,0.092,0.812
ABCE1,-0.073,0.847
ABCF1,0.182,0.150
ABCF2,0.061,0.632
ABCF3,-0.109,0.386
ABCG1,5.150,0.000
ABCG2,-0.020,0.863
ABCG4,0.196,0.678
ABCG5,0.423,0.019
ABCG8,0.328,0.077
ABHD1,-0.595,0.020
ABHD10,-0.187,0.317
ABHD11,-0.185,0.168
ABHD11-AS1,0.330,0.054
ABHD12,-0.038,0.812
ABHD12B,0.301,0.502
ABHD13,0.020,0.753
ABHD14A,0.146,0.019
ABHD14B,0.043,0.692
ABHD15,0.106,0.676
ABHD16A,0.108,0.545
ABHD16B,-0.280,0.238
ABHD2,-0.065,0.800
ABHD3,0.332,0.016
ABHD4,0.537,0.002
ABHD5,0.209,0.196
ABHD6,-0.129,0.125
ABHD8,0.167,0.039
ABI1,0.008,0.937
ABI2,0.192,0.282
ABI3,0.256,0.417
ABI3BP,0.601,0.405
ABL1,0.060,0.524
ABL2,0.152,0.724
ABLIM1,0.022,0.456
ABLIM2,-0.086,0.640
ABLIM3,-0.084,0.439
ABO,-0.229,0.419
ABP1,0.010,0.970
ABR,0.023,0.532
ABRA,1.290,0.280
ABT1,-0.033,0.729
ABTB1,0.109,0.303
ABTB2,0.290,0.012
ACAA1,-0.502,0.005
ACAA2,-0.284,0.420
ACACA,0.724,0.000
ACACB,0.035,0.795
ACAD10,-0.065,0.207
ACAD11,-0.461,0.007
ACAD8,-0.019,0.850
ACAD9,-0.024,0.490
ACADL,-0.207,0.267
ACADM,-0.296,0.095
ACADS,-0.193,0.157
ACADSB,-0.377,0.002
ACADVL,-0.118,0.250
